위도,경도
35.1225485,129.10966022
35.12877156,129.11366244
35.19955555,129.11910749
35.26277537,129.08819714
35.10297638,129.02740471
35.0924085,129.0653011
35.20313235,129.09066026
35.1293528,129.1130587
35.2361141,129.0136308
35.19879454,129.00646381
35.23006215,129.15868496
35.1871376,129.12740217
35.21826841,129.09566065
35.26256535,129.08820468
35.22313726,129.09153351
35.19303529,129.06673043
35.23789032,129.21089928
35.10612392,129.02308862
35.10713645,129.03283213
35.09898763,129.03541982
35.10032033,129.02374759
35.09754464,129.0295619
35.10285815,129.02577905
35.09479549,129.0242857
35.13067531,129.0480167
35.13694627,129.06060056
35.11690459,129.04019784
35.07978128,129.04420293
35.09236496,129.04456248
35.07889643,129.0703679
35.08677917,129.04238109
35.15446561,129.05589677
35.16541439,129.03837783
35.14489495,129.05836425
35.16222332,129.06561248
35.17349441,129.07127666
35.18085189,129.04700557
35.16501935,129.06435056
35.1626533,129.05012162
35.16572189,129.06060271
35.15772233,129.05881034
35.16132452,129.06118073
35.20805056,129.06922827
35.20509847,129.06531983
35.20565932,129.08614699
35.2054114,129.07572088
35.20414854,129.07936635
35.19915849,129.06425114
35.20285481,129.08293927
35.22145658,129.08387848
35.12410477,129.11381033
35.13798055,129.09092482
35.13652106,129.07128202
35.14304383,129.06581471
35.1347643,129.09225802
35.20959361,129.01152777
35.21001472,129.00694892
35.19755979,129.13115322
35.17854149,129.17472664
35.16299397,129.16060533
35.08085037,128.97707859
35.10629471,128.96556309
35.09948378,128.99151838
35.21806004,129.09527525
35.22571082,129.08128231
35.2493063,129.09033629
35.23777077,129.08801769
35.22513183,129.09259979
35.21426324,129.10497343
35.25783083,129.08975301
35.183186,129.07310802
35.18622559,129.08463865
35.16766206,129.1152101
35.18843136,128.9880469
35.24505517,129.21675679
35.17755222,129.07153723
35.19493873,129.06495755
35.20703292,129.07052891
35.2009979,129.08607858
35.19697173,129.07219737
35.20369497,129.07800546
35.13697137,129.10012677
35.12646307,129.10956204
35.10552652,128.96568814
35.21658685,129.11739274
35.18368914,129.10706159
35.18832277,129.07412756
35.15500361,129.1299899
35.15445248,129.11903388
35.13601979,129.11100748
35.15593484,129.12390678
35.19135779,128.98095476
35.19960739,129.11247108
35.1113985,129.03446343
35.10098434,129.02378006
35.09751902,129.02832314
35.10221284,129.02789513
35.09250101,129.02386802
35.09622494,129.02440456
35.11531949,129.01375448
35.11114245,129.01251415
35.10019256,129.01645879
35.07989532,129.02163286
35.12489268,129.04511912
35.14209585,129.06218397
35.12041183,129.03824274
35.13502178,129.04432354
35.1200721,129.03089514
35.07898439,129.07044499
35.09724215,129.05996741
35.08111827,129.0425829
35.08447684,129.06753392
35.08791207,129.04080222
35.16031906,129.06090817
35.16500386,129.03528104
35.16210453,129.03804496
35.17359161,129.04934613
35.16136257,129.0654743
35.15257345,129.03602666
35.15685739,129.05781138
35.16580298,129.04076607
35.22167129,129.08310468
35.20399653,129.0784397
35.20792019,129.06980376
35.20764485,129.08214602
35.13687742,129.07159463
35.13484525,129.09193527
35.11189524,129.11082866
35.2076241,129.00724592
35.20965292,129.00309007
35.16415125,129.1601498
35.1016593,128.99618403
35.1060977,128.96844402
35.09711088,128.96022668
35.08711654,129.00508309
35.09909643,128.99318005
35.21435998,129.10690731
35.24658419,129.09111244
35.27545425,129.08988969
35.23835729,129.08812372
35.1874028,129.08254027
35.18387972,129.07444847
35.17472168,129.08586809
35.18312332,129.07922195
35.17319122,129.09929344
35.16841736,129.11359335
35.14926793,129.11069103
35.16293626,129.11435277
35.1603485,128.98663618
35.1722994,128.98332899
35.16344694,128.98399851
35.13353466,128.9740647
35.14103498,128.98890821
35.20420336,129.07940861
35.20608021,129.10238315
35.1987965,129.07672085
35.13707589,129.1000582
35.13008596,129.09474688
35.15960337,129.16057949
35.15772625,129.14915276
35.23105902,129.09085414
35.26761725,129.09270689
35.17186047,129.1201841
35.13685788,129.11027482
35.1555903,129.12368129
35.19185936,128.98147916
35.17310654,128.98385251
35.11506486,129.02184768
35.17153757,129.02792845
35.19814786,129.11244223
35.1274816,129.10829325
35.17114599,129.17719706
35.10502956,128.97314471
35.10762786,128.97845495
35.22312069,129.09137661
35.08429599,128.8995776
35.1671036,128.98205977
35.1537871,129.01121731
35.08982588,129.0449841
35.21208776,129.03181895
35.16945613,129.18290414
35.19104815,129.12354832
35.17692103,129.08951598
35.13395793,128.97410526
35.12736536,129.04375096
35.19302562,129.09080156
35.20430008,129.07836987
35.21136388,129.07834063
35.19806005,129.09798584
35.20132021,129.0852311
35.19847269,129.07544404
35.19268261,129.06445894
35.12676249,129.10947099
35.21004738,129.00534444
35.15769507,129.15112136
35.17380996,129.17255154
35.10689278,128.95681988
35.22325871,129.08777825
35.16483811,129.11452788
35.13718784,129.11266586
35.09764149,129.02906164
35.10127493,129.02804978
35.09246515,129.02481934
35.11039873,129.01797935
35.0962054,129.02452487
35.1157524,129.03964735
35.12971269,129.0475691
35.14022473,129.06427885
35.11730049,129.03332318
35.07840516,129.07063761
35.08819776,129.04195889
35.09049831,129.03697152
35.09280387,129.04454691
35.15838446,129.05907439
35.16106977,129.0556016
35.13704278,129.05962329
35.15496482,129.05654437
35.18200398,129.04790595
35.1646953,129.05405531
35.15349169,129.06594547
35.16753243,129.03876744
35.14458534,129.06000329
35.17753216,129.04789454
35.16320686,129.06254372
35.14888383,129.05327963
35.21765321,129.08419377
35.20602641,129.10152619
35.20611003,129.07884311
35.20261897,129.08277285
35.20548512,129.08655133
35.19822699,129.09726848
35.20077862,129.08755535
35.19901148,129.07675925
35.13661614,129.07111117
35.14431528,129.06731058
35.11602372,129.08145903
35.13533839,129.09173232
35.13701476,129.10884917
35.20846959,129.0003924
35.21180695,129.0121321
35.19171644,129.12853952
35.23053988,129.15760741
35.17223332,129.17622432
35.19730164,129.13126961
35.16824966,129.13958372
35.17954588,129.12599226
35.09564922,128.96060505
35.08078701,128.96957936
35.08937921,128.99996304
35.1004053,128.97664953
35.09718211,128.99446233
35.10302846,128.99993772
35.09430242,129.01016263
35.10513816,128.96633856
35.06276614,128.98365835
35.09032669,128.97793771
35.21524167,129.10386487
35.23848653,129.08852304
35.22190686,129.09476017
35.24581456,129.09136116
35.22980045,129.08532526
35.18622518,129.07015308
35.18104842,129.07516256
35.18932264,129.09162271
35.16189362,129.11389804
35.17530733,129.10687782
35.17520585,129.11149486
35.14273132,129.10863852
35.09886893,128.95826566
35.10644506,128.9752005
35.32593262,129.17004719
35.16325539,129.06646421
35.19160509,129.10272484
35.14184484,129.09960727
35.25343388,129.08995204
35.21329831,128.98110186
35.1733315,128.97877724
35.21392468,129.02199897
35.20091473,129.11927415
35.25472104,129.08818678
35.16267341,129.10879924
35.09720689,129.02948018
35.09828188,129.02516658
35.09983785,129.01812778
35.10767139,129.02093751
35.11458395,129.01906716
35.14141489,129.06226262
35.13703527,129.05888238
35.13019598,129.04733883
35.11742101,129.03802749
35.09206188,129.04416021
35.08931926,129.03868932
35.07940088,129.07031039
35.08450716,129.06867523
35.15899942,129.05880736
35.15081095,129.0227784
35.16156849,129.0623138
35.16750483,129.03881084
35.1768787,129.05443574
35.15436165,129.03222894
35.15407866,129.03819566
35.22057584,129.0806406
35.20577689,129.06826281
35.2031084,129.08099461
35.1942319,129.09833931
35.13467063,129.08692313
35.13563232,129.0918917
35.11907129,129.11185568
35.20940133,129.00347843
35.16230883,129.16976061
35.16257184,129.1646917
35.16535977,129.16092709
35.1838328,129.20101877
35.18531489,129.12587905
35.1987359,129.13113738
35.10633632,128.96930675
35.08820001,129.00240011
35.1018323,128.99717438
35.05688444,128.97110895
35.09011547,129.00614072
35.1104857,128.98395236
35.24879015,129.09064998
35.22051794,129.08806021
35.23775536,129.087852
35.21694566,129.10228909
35.23102634,129.09132234
35.18634231,129.08204412
35.18307512,129.07395796
35.18495152,129.10717752
35.16779563,129.11683846
35.15215644,129.11193232
35.24422317,129.21670447
35.15773204,129.0606056
35.20424957,129.07829619
35.19718032,129.08313216
35.13173041,129.10126664
35.1635662,129.13303674
35.10654432,128.95857459
35.11379996,128.96107543
35.22329582,129.08816823
35.13689029,129.11199048
35.16831763,129.11795909
35.14828418,129.11473411
35.15704642,129.13446531
35.1026688,129.02722206
35.09979892,129.01889316
35.09039629,129.03892154
35.09661338,129.06118409
35.08939658,129.04288244
35.16570989,129.04055717
35.14526835,129.05807344
35.20217486,129.08354428
35.19669491,129.10354833
35.20478717,129.07726865
35.21202657,129.0790382
35.20185228,129.09906326
35.19764509,129.06061868
35.13528423,129.09436535
35.13668379,129.10036333
35.22258928,129.00853858
35.21082192,129.03471878
35.19631129,129.13085796
35.15855333,129.15627658
35.18380692,129.12386525
35.09993458,128.99313154
35.22366269,129.08546561
35.22971802,129.08929424
35.21422781,129.10735513
35.23827832,129.0922522
35.23415605,129.08722238
35.18568726,129.09675651
35.18828468,129.10714057
35.17507309,129.08328282
35.17311281,129.10062436
35.17448472,129.11046364
35.15037511,129.11107419
35.15635985,128.98333092
35.15605852,129.04144893
35.19435741,129.09571299
35.19718163,129.05752168
35.21203621,129.07396609
35.24399115,129.02137211
35.08651837,128.89912386
35.1678229,128.98214858
35.19658974,129.0578519
35.19435129,129.09617783
35.11978114,129.10821427
35.10301621,128.99893527
35.18655673,129.09973381
35.13951122,129.10880427
35.09803084,129.02825899
35.103156,129.02469269
35.10282797,129.02925169
35.09567307,129.0242407
35.11242748,129.01167542
35.12249292,129.04287925
35.12035488,129.03900897
35.11599357,129.03982263
35.09125534,129.04235697
35.08530938,129.04269473
35.09719865,129.06076254
35.15840733,129.05857649
35.16330784,129.03983049
35.16385893,129.06141018
35.16598516,129.04390955
35.17402614,129.07423945
35.15454278,129.06506144
35.21959683,129.087642
35.19433455,129.09626347
35.20125758,129.06495281
35.20374659,129.08308134
35.20389419,129.07549933
35.19939436,129.09894562
35.22417754,129.07767881
35.14278458,129.06400824
35.13488326,129.08475125
35.14416151,129.07672353
35.13598839,129.08871277
35.12485675,129.07911127
35.12327196,129.11255378
35.11955116,129.11208769
35.14481091,129.06690644
35.13703438,129.07227814
35.13017058,129.0965374
35.20961094,129.00212725
35.23448684,129.0139363
35.21056655,129.03083298
35.22527504,129.14844068
35.16528018,129.15987771
35.18575546,129.12550547
35.16323611,129.16436637
35.22995179,129.15865693
35.18419966,129.12125962
35.19497112,129.12897527
35.20522089,129.11877368
35.05580399,128.97177583
35.07743935,128.97724847
35.09662326,128.99316615
35.22563701,129.09162006
35.23995736,129.086044
35.26515177,129.08876019
35.24879902,129.09066114
35.21449396,129.10460896
35.2441361,129.08783724
35.21369796,129.10835046
35.18579525,129.08385997
35.18248294,129.07374416
35.18612337,129.07608086
35.19313573,129.06451144
35.1590131,129.11344574
35.16780177,129.11573124
35.15539443,129.12344544
35.17156627,129.1088135
35.15526019,128.97980924
35.17317481,128.98355462
35.19814609,129.09640426
35.19819395,129.08416093
35.13102463,129.11664189
35.10426912,128.95808935
35.17107633,129.12010481
35.16351254,128.97665429
35.16983266,128.98258584
35.17436832,129.07093789
35.21302841,129.07359709
35.16339203,129.0408019
35.19431827,129.09608383
35.07998291,128.97714786
35.18150938,128.99045328
35.10301629,129.02687575
35.09704724,129.03057925
35.09480415,129.02426989
35.08763523,129.0244948
35.07956134,129.02116052
35.1201445,129.03873232
35.09245807,129.04975589
35.09390317,129.04050326
35.09491284,129.05121833
35.16043744,129.05924845
35.16433562,129.06217486
35.1474463,129.03049651
35.17352727,129.07252487
35.16538856,129.03790358
35.1638412,129.02479809
35.20369903,129.07997212
35.2058738,129.06732636
35.20093966,129.09852167
35.20025692,129.07281717
35.21874251,129.08482196
35.13491317,129.09186672
35.11471317,129.11350877
35.11969038,129.11235452
35.1300084,129.08912159
35.11603365,129.08159639
35.2063009,129.00089718
35.19992965,128.99118004
35.21178395,129.00670701
35.21355383,129.00415885
35.229967,129.15871609
35.1618215,129.16476689
35.18891083,129.12536161
35.16134223,129.17057152
35.20709086,129.12248905
35.10620194,128.96838317
35.09097285,129.00689263
35.10439318,128.96466329
35.2148974,129.10400293
35.21831452,129.09667078
35.22585962,129.09165608
35.18718274,129.08505526
35.14792501,129.11243257
35.15712392,129.11369055
35.15116963,129.11227761
35.15238501,129.11613278
35.1622549,129.11177635
35.12898828,128.97023818
35.24509577,129.21665528
35.17490358,129.06580921
35.20424681,129.07816123
35.19442162,129.09378155
35.19973849,129.0779399
35.20189428,129.08318269
35.13875615,129.10319176
35.19680543,128.99080408
35.20447555,129.1204543
35.22645318,129.08930998
35.19661012,129.08125358
35.15915059,129.12089613
35.15200582,129.11718462
35.15961062,129.12488316
35.17103982,128.98284589
35.11515551,129.01244568
35.1386104,129.08160508
35.09904536,128.96051557
35.22279963,129.09282882
35.15110811,128.83616368
35.15733549,129.11713188
35.1743275,129.03045587
35.15404527,129.0370157
35.1562762,129.06233431
35.17938044,129.12228398
35.15097667,128.83607688
35.09663165,129.02704939
35.10313677,129.02519838
35.09776682,129.0356991
35.10251746,129.02007066
35.09404529,129.02407453
35.10020867,129.01661268
35.11607243,129.040003
35.13109241,129.0512513
35.12233539,129.04138984
35.12014195,129.03889104
35.09617717,129.06186655
35.09079658,129.04103234
35.08804815,129.04231783
35.08464952,129.06742754
35.07554561,129.06863527
35.15939404,129.05834155
35.16171778,129.0625667
35.15837973,129.05471034
35.16457892,129.06282535
35.1680369,129.04092899
35.15121067,129.02773543
35.15169662,129.03549423
35.14757727,129.02962251
35.16201682,129.04990606
35.17385952,129.07387749
35.14850531,129.02090677
35.17467751,129.06742933
35.17005405,129.03881759
35.20476196,129.08674397
35.20655015,129.0822144
35.20326539,129.07846136
35.21103562,129.0763746
35.20204873,129.0736435
35.20429609,129.06955077
35.12099556,129.11204912
35.13591228,129.08910938
35.11474016,129.11293471
35.20801812,129.00567318
35.21097628,129.00915396
35.2119741,129.03656279
35.16011258,129.16252891
35.20598323,128.9968026
35.23022747,129.15840263
35.18793179,129.12600128
35.22527342,129.14876946
35.16308237,129.16131994
35.16576225,129.16246381
35.09677961,128.99366994
35.09088624,128.97789296
35.08798026,129.0038911
35.21454059,129.10552663
35.21568399,129.10114938
35.25798672,129.08932895
35.28386368,129.09462341
35.18773938,129.08132666
35.17448598,129.0929893
35.17423455,129.08948158
35.16800203,129.11657343
35.2439838,129.21670901
35.17458395,129.06743771
35.20355377,129.08395087
35.20081679,129.06502135
35.2049517,129.07640403
35.10833408,128.94638924
35.16384942,129.11527815
35.21239136,129.073714
35.19269672,129.06545958
35.2461995,129.21178501
35.11418101,129.01545349
35.16235441,129.06466048
35.1924706,129.06701851
35.09757963,129.02914717
35.11256426,129.02820084
35.0954037,129.02434653
35.09200075,129.02233492
35.09816725,129.02045899
35.1208632,129.03917518
35.13090514,129.04685781
35.13898619,129.05931471
35.11982214,129.03568583
35.13689306,129.05661869
35.12742129,129.0451988
35.09033656,129.04186359
35.09261362,129.04473007
35.07893059,129.07042202
35.16241814,129.06179406
35.15996421,129.05822491
35.14349954,129.05585665
35.14746305,129.03018958
35.17518829,129.04881035
35.17538818,129.06737778
35.17539523,129.07789304
35.14461857,129.0600556
35.15560066,129.04172899
35.15720997,129.06541512
35.20298835,129.08177045
35.20436629,129.07859034
35.2012023,129.08777109
35.1986957,129.09854589
35.20557217,129.08619253
35.22225982,129.08336224
35.13547785,129.09331183
35.13828846,129.09105735
35.12050482,129.11291851
35.13693769,129.07237883
35.12646564,129.10943653
35.12420118,129.08792538
35.1324964,129.08662346
35.20537645,129.00434706
35.21126979,129.00937076
35.19599277,129.13077762
35.19032284,129.12040096
35.21979846,129.12788374
35.1617558,129.17123973
35.16447994,129.18427474
35.17284772,129.17579777
35.06425195,128.97946057
35.1065797,128.96980004
35.10291098,128.99897665
35.1052648,128.96623676
35.11161164,128.9649793
35.09077079,128.97774827
35.08914272,129.00559943
35.09129689,128.99635602
35.21472529,129.10441004
35.27081186,129.08908246
35.25841886,129.09151929
35.26054684,129.08584528
35.27543129,129.08892687
35.21835311,128.93598626
35.18213874,129.07306391
35.19582135,129.08033542
35.18025596,129.08115967
35.15578079,129.1228721
35.16713034,129.11399255
35.17479845,129.1077852
35.14591847,129.11109704
35.1682562,128.98217951
35.14944682,129.00416489
35.16389246,128.98398236
35.17372782,128.98569543
35.13039856,128.97319603
35.2451252,129.2153005
35.13182238,129.1011791
35.13836415,129.10243121
35.10816907,128.94661673
35.18816936,129.07321333
35.16819272,128.98217058
35.17581333,129.06657335
35.20930369,129.08076147
35.09877823,128.91864766
35.12943357,129.10046288
35.19320725,129.12926954
35.22723879,129.08333984
35.23769311,129.21018086
35.10301947,129.02777281
35.0973955,129.02678898
35.09463383,129.02425804
35.10005735,129.01645629
35.11262747,129.02832107
35.13041445,129.04865697
35.12261057,129.04003074
35.11868759,129.03847939
35.12813712,129.04466909
35.13937371,129.05638384
35.0908192,129.04347735
35.07510745,129.07253125
35.08860462,129.04093591
35.0969032,129.06037126
35.15944036,129.0595733
35.16233747,129.06214282
35.17009908,129.03828876
35.15325008,129.07183812
35.15995862,129.05003389
35.16531717,129.03926479
35.20457542,129.07829711
35.19795351,129.0603389
35.21782386,129.08213519
35.13591285,129.08906549
35.12514238,129.11266976
35.12364401,129.09704134
35.20963263,129.01120662
35.23560426,129.01393072
35.20725562,129.00446297
35.21379135,129.01491526
35.18641129,129.12532979
35.22527076,129.14835818
35.21498125,129.10454172
35.24568149,129.09002623
35.2308131,129.09196913
35.21424026,129.10845397
35.27077079,129.08914178
35.21564871,129.10082441
35.18985475,129.07124937
35.18683961,129.08254463
35.18148169,129.07305765
35.18413776,129.08576486
35.1744772,129.09228637
35.18629919,129.07638352
35.19306213,129.08008702
35.18317221,129.10702881
35.17542892,129.10782262
35.15623328,129.12142752
35.15931067,128.98265373
35.16615739,128.98275628
35.159083,128.98763417
35.15394724,128.98050702
35.15506108,128.98688359
35.16607871,128.97568832
35.15153165,128.97797533
35.24504782,129.21512131
35.20459974,129.07781426
35.2025463,129.08286135
35.19232245,129.0800433
35.15482289,128.98699626
35.12355322,129.03874792
35.10676575,128.97106993
35.09740846,129.02549951
35.16443348,129.06434587
35.1576389,129.05030605
35.20779178,129.07286569
35.16292923,129.13867743
35.10807751,128.94639994
35.22259133,129.08710602
35.1918801,129.08938594
35.18137503,129.08772559
35.15294003,129.11734557
35.16741152,128.98355728
35.12264052,129.04023798
35.20203692,129.06479213
35.22783394,129.08586121
35.09824945,128.91930003
35.15479831,129.11790954
